key,title,description,sortOrder
increase-cross-selling,Increase cross-selling,Grow revenue from your existing clients by making sure they're fully covered across every policy they need,0
leverage-expertise,Leverage team expertise,Help brokers comfortably learn from their colleagues and confidently advise clients on any type of insurance,1
greater-transparency,Greater transparency,"Get clear visibility into every broker's client conversations as they happen, without changing how your brokers work",2
revenue-per-broker,Boost revenue per broker,Cut administrative overhead so each broker can manage a larger book of business and drive more profit,3
